run_index,trial_id,repeat_id,velocity_ratio,acceleration_ratio,blend_ratio,time_s,position_error_mm,energy_proxy,smoothness_index
65,10,2,88,76,18,6.303882741928101,2.4091272493247007,6.702288131217957,0.8071320264405563
66,22,2,46,100,29,5.986249828338623,2.383665357016521,4.259815377845764,0.7571639299610289
67,37,1,56,92,9,6.234365844726563,2.3775723595775387,4.593480754394531,0.7740219159571967
68,32,0,64,23,13,17.145009899139403,2.4091272493247007,7.476081566519737,0.9123804743709726
69,18,1,79,34,5,11.853218698501587,2.4091272493247007,8.082709830508232,0.8979977970621921
70,22,0,46,100,29,5.736776971817017,2.2278297503656215,4.082290493144989,0.7821661975691971
71,17,1,21,55,96,15.727166080474854,2.3475983834293945,3.0723018938207627,0.9066293080832066
72,9,1,68,59,22,7.837973499298096,2.3475983834293945,4.988478233628273,0.8083790847784488
73,56,1,22,71,15,13.89145793914795,2.3775723595775387,4.173688537817002,0.9034688245956218
74,4,0,76,78,19,6.218682909011841,2.3775723595775387,5.483634589166642,0.7854603219600359
75,40,0,48,22,40,17.49015893936157,2.3475983834293945,4.4529944659614555,0.9184792483227774
76,42,0,50,85,46,6.27791657447815,2.4091272493247007,3.8373765061497687,0.7878406953442046
77,0,0,68,21,92,18.45842924118042,2.4091272493247007,8.942186045889853,0.9231407709301408
78,67,2,51,94,54,6.009123468399048,2.4091272493247007,4.217803762469292,0.7722621874992266
79,29,2,30,62,65,9.37686505317688,2.4091272493247007,2.6461513180065155,0.8839357776338558
80,20,2,92,81,1,6.272830390930176,2.4091272493247007,7.367125652627945,0.793029395735423
81,68,2,97,47,57,9.31690754890442,2.4091272493247007,9.795330751540662,0.8680651114184469
82,28,0,29,50,30,10.882827663421631,2.4091272493247007,2.275599264421463,0.8875451660900393
83,13,0,47,82,83,6.71365966796875,2.4091272493247007,3.740179801025391,0.7948887845619048
84,36,0,42,29,99,13.924237155914307,2.4091272493247007,3.0417496067094802,0.8964631948599755
85,43,1,60,69,66,7.300898933410645,2.4091272493247007,4.3663026071262365,0.7874399271190162
86,57,1,94,86,84,6.281112337112427,2.4091272493247007,7.872746203336717,0.767262633555164
87,65,0,39,35,90,11.900443935394287,2.4091272493247007,2.5389597136163715,0.8963056566772245
88,4,1,76,78,19,6.264001274108887,2.4091272493247007,5.523596323509217,0.8089987871757521
89,55,0,98,45,26,9.836477661132813,2.3775723595775387,10.44289650894165,0.8842780935968442
90,35,1,71,45,7,9.807698631286621,2.4091272493247007,5.937090366449357,0.8579030112948811
91,66,2,95,96,49,5.750742816925049,2.2677723527791067,7.83998768231392,0.7179154032229589
92,30,2,91,50,37,8.815815114974976,2.4091272493247007,8.40235338608265,0.8668826160426646
93,1,2,43,71,80,7.25530686378479,2.3775723595775387,3.1702063341307642,0.8485530658717412
94,28,1,29,50,30,10.625344896316529,2.4091272493247007,2.221759617819786,0.8897158855481726
95,19,2,38,80,24,7.292822027206421,2.4091272493247007,3.3867865494346616,0.8414796759098406
96,16,0,49,26,64,14.955879354476929,2.4091272493247007,4.096415355191231,0.9178340648790421
97,61,2,31,63,46,9.287557744979859,2.319266616410973,2.7356501337838175,0.8760226203928932
98,41,1,54,91,79,6.0044268608093265,2.2677723527791067,4.237023814330102,0.7474560613218074
99,46,0,36,75,4,7.855963134765625,2.4091272493247007,3.2276224539184573,0.8482978668263564
100,43,2,60,69,66,7.049276733398438,2.4091272493247007,4.215819950408936,0.803785622853443
101,48,1,27,64,88,10.601900005340577,2.4091272493247007,2.944147631483078,0.8827314367883417
102,50,1,32,40,26,11.172660732269287,2.3775723595775387,2.0378933175659184,0.8840707253107849
103,58,0,55,53,62,8.610546255111695,2.4091272493247007,3.8140414637017255,0.8685250485662331
104,59,1,99,94,8,6.011820697784424,2.4091272493247007,8.548207850179672,0.7417163241909157
105,38,1,70,26,67,14.983920240402222,2.4091272493247007,7.848577421922683,0.9143431248004031
106,59,0,99,94,8,5.741557979583741,2.223566836102935,8.163921291170121,0.721634436532148
107,48,2,27,64,88,10.325197124481202,2.3775723595775387,2.8673072414684295,0.8929436518502022
108,27,2,53,28,78,14.023267650604248,2.4091272493247007,4.48884797495842,0.9016057086389794
109,15,0,85,70,58,7.040476942062378,2.4091272493247007,6.8116614414453505,0.8046494301811098
110,34,1,45,31,59,13.388005638122559,2.4091272493247007,3.3543648126316077,0.910093639780914
111,30,0,91,50,37,9.075475358963013,2.4091272493247007,8.649835564627649,0.8840266315252697
112,44,1,62,97,41,5.563061857223511,2.319266616410973,4.755583428647518,0.7425860845871893
113,6,0,62,43,13,10.05789270401001,2.4091272493247007,4.7961061359071735,0.8893726229834661
114,48,0,27,64,88,10.578279638290406,2.3475983834293945,2.9375882555532455,0.8891870615031194
115,26,0,97,87,95,6.256934547424317,2.4091272493247007,8.255086595144272,0.7682449952020469
116,29,0,30,62,65,9.296276712417603,2.4091272493247007,2.6234092882442472,0.8650860522574546
117,42,2,50,85,46,6.294654750823975,2.4091272493247007,3.8476077164411544,0.7781624979509552
118,62,2,33,84,89,8.296464586257935,2.4091272493247007,3.8304776994752885,0.841083040502627
119,24,0,57,38,33,11.344223165512085,2.4091272493247007,4.504791019024849,0.8919290928178947
120,67,1,51,94,54,5.742754364013672,2.3475983834293945,4.0308392881011965,0.7473078829775365
121,37,0,56,92,9,6.286304140090943,2.2960240077837697,4.631748890419007,0.6954023478392863
122,30,1,91,50,37,8.804174327850342,2.3647527284598246,8.391258551874161,0.8651676478356156
123,33,1,77,57,76,7.921734714508057,2.3545388233328297,5.983682316603661,0.7068067958216999
124,24,1,57,38,33,11.370186710357666,2.3647527284598246,4.515101142683029,0.8974009426050841
125,42,1,50,85,46,6.243772411346436,2.308490888792767,3.816505886435509,0.7887042875510619
126,7,0,72,30,52,13.628507041931153,2.3647527284598246,7.678300867424012,0.8758583080002427
127,44,2,62,97,41,5.7162281513214115,2.3647527284598246,4.886517635157109,0.7353514282849358
